House_Type,Bedrooms,Bathrooms,Hydro,Heat,Water,Parking,Pet_Friendly,Air_Conditioning,Smoking,Laundry,Dishwasher,Fridge,Furnished,Gym,Pool,24_Hour_Security,Bicycle_Parking,Storage_Space,Elevator_in_Building,Personal_Outdoor_Space,Agreement,Region,Size,Rent
Apartment,2,2.0,No,No,Yes,1,Yes,Yes,No,Laundry (In Unit),Yes,Yes,No,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1150.0,2000.0
Apartment,1,1.0,Yes,Yes,Yes,1,No,No,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,500.0,870.0
Duplex/Triplex,3,1.0,No,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,800.0,1300.0
Condo,1,1.0,No,No,No,1,No,Yes,Outdoors only,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor City Centre NW Walkerville,800.0,1200.0
Apartment,1,1.0,No,No,Yes,1,No,Yes,No,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1500.0,1000.0
Apartment,2,1.0,Yes,Yes,Yes,1,Limited,Yes,No,Laundry (In Unit)Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Yard,1 Year,Windsor East East Walkerville,900.0,1400.0
House,3,1.0,No,No,No,2,No,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1300.0,1500.0
Apartment,1,1.0,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,600.0,1250.0
Condo,2,2.0,No,No,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Not Included,Yes,Yes,Not Included,Not Included,Yes,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1150.0,1900.0
Apartment,1,1.0,Yes,Yes,Yes,1,No,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,600.0,1100.0
Condo,2,2.0,No,No,No,1,Limited,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,1100.0,2000.0
Apartment,2,1.0,Yes,Yes,Yes,0,No,No,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Yes,Not Included,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,1100.0,1300.0
House,4,2.0,No,No,No,2,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,2200.0,2000.0
Apartment,2,1.0,No,Yes,Yes,1,No,No,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Walkerville West Fontainbleu Walker,900.0,1300.0
Apartment,1 + Den,1.0,No,No,Yes,1,Yes,Yes,No,Laundry (In Building),Yes,Yes,No,Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,600.0,1280.0
Apartment,2,1.0,No,No,Yes,2,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,900.0,1200.0
Duplex/Triplex,2 + Den,1.0,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor University South Cameron,1400.0,1550.0
House,5+,2.0,No,No,No,3,Limited,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East Riverside,2300.0,2300.0
